,person,subset,# shots,Feature Set,wTargetMeanQDA,wTargetCovQDA,wTargetMeanLDA,wTargetCovLDA,tPropLDA,AccLDAInd,tIndL,AccLDAProp,tCLPropL
322,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)",23,3,,,0.986856587732208,0.9694472321979115,19.179993867874146,0.8628264493424709,0.0006095258985145994,0.8609372105945545,0.0006628121197455502
323,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24)",24,3,,,0.9913519626483019,0.9778302749475722,19.644232511520386,0.8617151324319319,0.0006328780069508405,0.8598258936840155,0.000714619863163566
324,43,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",25,3,,,0.9964572130241633,0.9896456103025381,19.55398988723755,0.8656417855158363,0.0006014688873008393,0.8650490831635488,0.0007594962543106715
325,44,"(1,)",1,3,,,0.7217927338864616,0.5316317609612231,17.54765748977661,0.749762007788836,0.0006123544023646673,0.7788836001730852,0.000646721424348733
326,44,"(1, 2)",2,3,,,0.8433844268955901,0.5876157860846016,18.970438957214355,0.7728688879273042,0.0006160053532136977,0.8339679792297706,0.0006010365042527586
327,44,"(1, 2, 3)",3,3,,,0.8366132344128328,0.6392935523908287,18.595442056655884,0.8202509736045002,0.000608495116388576,0.8479878840328862,0.0007079842801426253
328,44,"(1, 2, 3, 4)",4,3,,,0.850953480927761,0.656628226939598,18.79597568511963,0.8607961921246213,0.0006314080393917887,0.8593682388576374,0.0006234222653107125
329,44,"(1, 2, 3, 4, 5)",5,3,,,0.8847639935084961,0.6813889422053772,18.42900037765503,0.8750324534833406,0.0006168710881113129,0.8640848117697967,0.0006564854440726227
330,44,"(1, 2, 3, 4, 5, 6)",6,3,,,0.8825511135153162,0.7236204145361017,18.763888120651245,0.8774556469061012,0.0006143529917553151,0.8694071830376461,0.0005901907492075994
331,44,"(1, 2, 3, 4, 5, 6, 7)",7,3,,,0.8983995922573135,0.7425386918690741,19.882762908935547,0.8821289485071397,0.0006356162975382258,0.871787105149286,0.0006416004078566693
332,44,"(1, 2, 3, 4, 5, 6, 7, 8)",8,3,,,0.8990310137740126,0.7617464569810986,18.71375584602356,0.8846386845521419,0.0006048106466315619,0.8763305928169624,0.0005947996042136865
333,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",9,3,,,0.9155754930532607,0.7658087042516334,20.292958736419678,0.8855473820856772,0.0006079368496395096,0.873691042838598,0.0005837682932808718
334,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",10,3,,,0.9312591463090314,0.8060557993436003,19.132892847061157,0.8828212894850714,0.0006214255432399616,0.8697100822154912,0.0006044719808290449
335,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",11,3,,,0.9308034482135161,0.8160661949277384,19.130865812301636,0.8842925140631761,0.0006176060074492999,0.8728688879273042,0.0006013396703438654
336,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",12,3,,,0.9375807905465086,0.8311336285175518,20.42326331138611,0.8884465599307659,0.000610579458060898,0.8764171354392039,0.0006013840527206414
337,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",13,3,,,0.9382917323939924,0.8427991550358577,21.3998966217041,0.8936391172652531,0.0006051577411653262,0.8839030722630896,0.0006019901373024268
338,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",14,3,,,0.9547827197678617,0.854709824710546,19.841753244400024,0.8964517524881004,0.0006218612580936949,0.8859800951968845,0.0006049824091120232
339,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",15,3,,,0.9531495816393216,0.8699446185163474,19.684276342391968,0.8951536131544786,0.0006019036834862056,0.8823453050627434,0.0005972161534440203
340,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",16,3,,,0.9665665307415686,0.8876122296059116,19.52892279624939,0.8896148853310255,0.000603320226169984,0.8791432280398096,0.000589754931187021
341,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)",17,3,,,0.9673471866309891,0.8991719958053205,18.96241545677185,0.8938554738208567,0.0006151783471497453,0.8836867157074859,0.000597391681514329
342,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)",18,3,,,0.9678593964876864,0.9073545023104537,19.127856492996216,0.896841194288187,0.0006103495507465199,0.8868887927304198,0.0006239867117538023
343,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",19,3,,,0.9762960606658699,0.9220863109392278,19.856838703155518,0.8986153180441367,0.0006113649807364226,0.8903937689311986,0.0006135716576537029
344,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)",20,3,,,0.9789106912664097,0.9337253839693892,20.54762840270996,0.8979662483773259,0.0006471552718825694,0.8902639549978364,0.0006067611396390088
345,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21)",21,3,,,0.9844737763141682,0.948831869422803,19.26125407218933,0.8996105581999134,0.0006060725834812245,0.8921246213760277,0.0005982167789916464
346,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22)",22,3,,,0.9854881284029385,0.9590571695566925,20.023235082626343,0.9003028991778451,0.0006144881712724924,0.8936391172652531,0.0006038538463597481
347,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23)",23,3,,,0.989759521756562,0.9680806917649625,19.178993225097656,0.9005192557334487,0.0006155688027085189,0.8941583729987018,0.0005946171226980159
348,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24)",24,3,,,0.9924065958922179,0.9780074868568889,19.680076122283936,0.8990913024664647,0.0006330529418872683,0.8947209000432713,0.0006116218145973803
349,44,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25)",25,3,,,0.9966355892969851,0.9889495434643998,23.166594743728638,0.8994374729554305,0.0007118431844013895,0.897317178710515,0.0005945313807330262
350,45,"(1,)",1,3,,,0.7602721315682499,0.5799357639197694,21.16928482055664,0.48063987338194564,0.0006111995515246017,0.5656831157085523,0.0005883010648951995
351,45,"(1, 2)",2,3,,,0.8329702046910125,0.627945525653222,21.666605949401855,0.5835170425640156,0.0006113703770686299,0.6044033689446612,0.000596263296668441
352,45,"(1, 2, 3)",3,3,,,0.8478542512932501,0.6648949276246219,21.247488021850586,0.6663557741224352,0.0006238113903256756,0.6649708891526765,0.0006022733760913738
353,45,"(1, 2, 3, 4)",4,3,,,0.8621422043567785,0.6772788122625377,19.312347650527954,0.6942795771861399,0.0006139170799386905,0.6928381662992482,0.0005914204116997243
354,45,"(1, 2, 3, 4, 5)",5,3,,,0.8773528097572552,0.7185620194357302,19.71642017364502,0.7026454129218247,0.0006121984675554415,0.6984624950539823,0.000597113603707604
355,45,"(1, 2, 3, 4, 5, 6)",6,3,,,0.8794855900026374,0.7300342522647167,21.558316707611084,0.7058391272398394,0.0006072057943725241,0.6939969476004748,0.0006014251916527539
356,45,"(1, 2, 3, 4, 5, 6, 7)",7,3,,,0.8742643599027986,0.7609108311708646,20.046298503875732,0.7115199819117065,0.000614576224899098,0.6943078401447064,0.0006051870530108911
357,45,"(1, 2, 3, 4, 5, 6, 7, 8)",8,3,,,0.9022902940536044,0.7944375220077172,20.815343379974365,0.7175682550449382,0.0006032102245869668,0.7061782827426375,0.0005972346795379499
358,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9)",9,3,,,0.902986723075444,0.82219034011546,22.315364360809326,0.7088067378893222,0.0006137496101250448,0.7001582725679724,0.0006076021479088633
359,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10)",10,3,,,0.9217439300675665,0.827027574544138,22.76151943206787,0.726838505454751,0.0006635954540274895,0.7205923916115539,0.0006107479362515825
360,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11)",11,3,,,0.9267916910548852,0.8534283309936364,23.61578893661499,0.7335650895935787,0.0006141408222511796,0.7251144649821943,0.0005950435493201427
361,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12)",12,3,,,0.9408618896169578,0.866709845015512,21.539265155792236,0.7314453677010909,0.0006033236590553574,0.7243231021423323,0.0005913067211715857
362,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13)",13,3,,,0.9280967368266844,0.8992255724390936,22.258179903030396,0.732010626872421,0.0006034639326283933,0.7286755977615736,0.0005988158686974637
363,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",14,3,,,0.9468746149664629,0.8744188739805232,22.166937828063965,0.7324910971680515,0.000631692403989881,0.7270363461647166,0.0005975110960359807
364,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",15,3,,,0.9587790122944251,0.9064577775658325,19.28348660469055,0.7355434966932338,0.0006299310363671204,0.7324063082923521,0.0005950469589578406
365,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",16,3,,,0.9673924233885852,0.917716723809901,19.002521276474,0.7388502628455147,0.0006114552473982829,0.7360239669888644,0.0005970296093718259
366,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17)",17,3,,,0.976441538902827,0.9293069226298775,19.183003902435303,0.7386524221355492,0.0006248166269892438,0.737408851958623,0.0006136900223263055
367,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18)",18,3,,,0.9642740484838903,0.9224641120147851,19.299312114715576,0.7424396585834605,0.0006187960760702981,0.7394155220168447,0.0006074031827462063
368,45,"(1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",19,3,,,0.9749106022841041,0.94337366304537,20.374624967575073,0.7473291504154654,0.0006090162446059391,0.7443332768074162,0.0005988183012650703
