,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots,yKNNInd,ySVMInd,yKNNMulti,ySVMMulti
86,0.843,0.841,0.513,0.513,0.842,0.84,0.838,0.832,0.49718232559444087,0.4984362948633194,0.5,20,57,89,0.831,0.841,0.752,0.5
87,0.844,0.843,0.513,0.513,0.839,0.84,0.839,0.833,0.4978316159452687,0.4987952562757688,0.5,20,57,90,0.83,0.844,0.752,0.5
88,0.844,0.843,0.513,0.513,0.839,0.84,0.835,0.835,0.49784595747555327,0.49881279634599635,0.5,20,57,91,0.83,0.844,0.752,0.5
89,0.844,0.839,0.513,0.513,0.839,0.839,0.835,0.833,0.49725580649877027,0.49846974464360927,0.5,20,57,92,0.83,0.847,0.752,0.5
90,0.843,0.841,0.513,0.513,0.839,0.84,0.835,0.832,0.4949762040610143,0.4988028286520718,0.5,20,57,93,0.83,0.849,0.752,0.5
91,0.843,0.842,0.513,0.513,0.84,0.84,0.84,0.836,0.49949852575553066,0.4997570949000671,0.5,20,57,94,0.83,0.842,0.752,0.5
92,0.843,0.843,0.513,0.513,0.84,0.841,0.84,0.835,0.4992080782119874,0.4997686196886527,0.5,20,57,95,0.83,0.842,0.752,0.5
93,0.844,0.843,0.513,0.513,0.843,0.842,0.841,0.837,0.4979124080245708,0.49427741955078264,0.5,20,57,96,0.833,0.84,0.752,0.5
94,0.844,0.844,0.513,0.513,0.843,0.841,0.841,0.837,0.5004578992868106,0.49464517260653573,0.5,20,57,97,0.833,0.84,0.752,0.5
95,0.844,0.843,0.513,0.513,0.842,0.841,0.84,0.838,0.5000927916122507,0.49754638909016424,0.5,20,57,98,0.834,0.84,0.753,0.5
96,0.845,0.843,0.513,0.513,0.84,0.841,0.838,0.838,0.50284967197279,0.5028616919923358,0.5,20,57,99,0.834,0.838,0.753,0.5
97,0.844,0.845,0.513,0.513,0.842,0.84,0.838,0.837,0.4994960858145394,0.5028285298621605,0.5,20,57,100,0.834,0.838,0.753,0.5
98,0.842,0.843,0.513,0.513,0.839,0.842,0.84,0.835,0.49863872942358123,0.4991918136363864,0.5,20,57,101,0.834,0.838,0.753,0.5
99,0.84,0.843,0.513,0.513,0.839,0.841,0.842,0.835,0.49953161769737614,0.49978939305033465,0.5,20,57,102,0.835,0.838,0.753,0.5
