,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots,yKNNInd,ySVMInd,yKNNMulti,ySVMMulti
117,0.841,0.833,0.5,0.5,0.853,0.848,0.598,0.612,0.489631120138711,0.5097302790856988,0.5,20,1,20,0.829,0.851,0.825,0.5
118,0.842,0.826,0.5,0.5,0.851,0.846,0.582,0.602,0.5073332991199839,0.490952248647543,0.5,20,1,21,0.838,0.844,0.825,0.5
119,0.842,0.828,0.5,0.5,0.85,0.848,0.614,0.636,0.4994813255682725,0.4915464995838429,0.5,20,1,22,0.838,0.844,0.825,0.5
120,0.841,0.835,0.5,0.5,0.852,0.849,0.629,0.645,0.4995256149902001,0.4920684587246985,0.5,20,1,23,0.838,0.844,0.825,0.5
121,0.836,0.835,0.5,0.5,0.85,0.85,0.605,0.619,0.5070343432132722,0.4925304815506273,0.5,20,1,24,0.848,0.841,0.826,0.5
122,0.836,0.835,0.5,0.5,0.852,0.852,0.596,0.612,0.506841887407776,0.506035427402902,0.5,20,1,25,0.849,0.847,0.826,0.5
123,0.84,0.829,0.5,0.5,0.853,0.85,0.611,0.632,0.506478554959739,0.4855536797267247,0.5,20,1,26,0.847,0.848,0.826,0.5
124,0.847,0.829,0.5,0.5,0.855,0.845,0.619,0.639,0.5123046645462708,0.49861877399013654,0.5,20,1,27,0.847,0.844,0.826,0.5
125,0.848,0.826,0.5,0.5,0.854,0.848,0.62,0.635,0.5117155492879389,0.49871629449088667,0.5,20,1,28,0.85,0.841,0.826,0.5
126,0.836,0.821,0.5,0.5,0.851,0.85,0.601,0.615,0.5055904560024116,0.49953507900201277,0.5,20,1,29,0.847,0.846,0.825,0.5
127,0.834,0.817,0.5,0.5,0.852,0.849,0.594,0.61,0.5109287648100185,0.4992982469205001,0.5,20,1,30,0.84,0.846,0.825,0.5
128,0.835,0.818,0.5,0.5,0.851,0.849,0.597,0.612,0.5052283106054821,0.49933636193086184,0.5,20,1,31,0.84,0.846,0.825,0.5
129,0.834,0.824,0.5,0.5,0.852,0.848,0.583,0.6,0.5050121541750329,0.4993717608150664,0.5,20,1,32,0.839,0.835,0.827,0.5
130,0.835,0.826,0.5,0.5,0.851,0.849,0.587,0.606,0.504813470263052,0.48958333333333337,0.5,20,1,33,0.839,0.835,0.827,0.5
131,0.83,0.822,0.5,0.5,0.852,0.85,0.566,0.589,0.5139767258131149,0.5086621147505735,0.5,20,1,34,0.838,0.837,0.827,0.5
132,0.832,0.822,0.5,0.5,0.852,0.853,0.585,0.603,0.5049584757098733,0.499302847051156,0.5,20,1,35,0.839,0.839,0.826,0.5
133,0.838,0.822,0.5,0.5,0.854,0.848,0.598,0.621,0.4939754454438628,0.4877485275142435,0.5,20,1,36,0.841,0.838,0.826,0.5
134,0.84,0.834,0.5,0.5,0.852,0.85,0.62,0.639,0.4995401746986618,0.488258957145294,0.5,20,1,37,0.841,0.838,0.826,0.5
135,0.847,0.834,0.5,0.5,0.852,0.85,0.636,0.657,0.4989539703172465,0.4989539703172465,0.5,20,1,38,0.847,0.84,0.826,0.5
136,0.845,0.837,0.5,0.5,0.852,0.849,0.632,0.654,0.499007276033749,0.48932685998619574,0.5,20,1,39,0.847,0.84,0.826,0.5
137,0.839,0.832,0.5,0.5,0.852,0.848,0.644,0.664,0.48562405754897314,0.4901739645395349,0.5,20,1,40,0.844,0.84,0.826,0.5
138,0.847,0.83,0.5,0.5,0.852,0.849,0.647,0.665,0.4905560521638637,0.5083987938651091,0.5,20,1,41,0.844,0.84,0.826,0.5
139,0.846,0.831,0.5,0.5,0.853,0.847,0.659,0.675,0.4947249680007332,0.5085591069757779,0.5,20,1,42,0.844,0.84,0.827,0.5
140,0.847,0.84,0.5,0.5,0.854,0.849,0.643,0.658,0.49845567660665063,0.49972929066238925,0.5,20,1,43,0.849,0.84,0.829,0.5
141,0.847,0.839,0.5,0.5,0.852,0.851,0.635,0.65,0.5069294720866295,0.4997414683900324,0.5,20,1,44,0.849,0.84,0.829,0.5
142,0.846,0.839,0.5,0.5,0.853,0.852,0.665,0.678,0.5067169649206189,0.5077511394440059,0.5,20,1,45,0.849,0.842,0.829,0.5
143,0.846,0.839,0.5,0.5,0.852,0.849,0.687,0.695,0.48627226617759345,0.5,0.5,20,1,46,0.837,0.847,0.826,0.5
144,0.844,0.836,0.5,0.5,0.853,0.85,0.68,0.692,0.49102632914310546,0.5,0.5,20,1,47,0.842,0.852,0.826,0.5
145,0.843,0.842,0.5,0.5,0.853,0.85,0.637,0.653,0.4907338860144687,0.5,0.5,20,1,48,0.83,0.842,0.826,0.5
146,0.839,0.843,0.5,0.5,0.853,0.85,0.657,0.671,0.4910347389453008,0.5,0.5,20,1,49,0.83,0.847,0.826,0.5
147,0.843,0.838,0.5,0.5,0.853,0.85,0.644,0.66,0.49845742273859184,0.5,0.5,20,1,50,0.83,0.847,0.826,0.5
148,0.844,0.844,0.5,0.5,0.853,0.85,0.665,0.68,0.49106623066476507,0.5,0.5,20,1,51,0.836,0.855,0.826,0.5
149,0.845,0.843,0.5,0.5,0.852,0.852,0.66,0.673,0.4985700844620213,0.5,0.5,20,1,52,0.841,0.855,0.826,0.5
150,0.844,0.843,0.5,0.5,0.852,0.852,0.642,0.658,0.5023551789026538,0.5,0.5,20,1,53,0.843,0.851,0.826,0.5
151,0.845,0.845,0.5,0.5,0.853,0.852,0.644,0.657,0.4991986241768902,0.5,0.5,20,1,54,0.844,0.855,0.826,0.5
152,0.844,0.846,0.5,0.5,0.853,0.851,0.651,0.665,0.5064782211145364,0.5032374714699017,0.5,20,1,55,0.844,0.855,0.826,0.5
153,0.847,0.845,0.5,0.5,0.851,0.854,0.659,0.673,0.5063034482017148,0.5093652510547502,0.5,20,1,56,0.844,0.855,0.826,0.5
154,0.846,0.844,0.5,0.5,0.852,0.855,0.661,0.678,0.506138159594565,0.5091304443745293,0.5,20,1,57,0.847,0.853,0.826,0.5
