,yIndLDA,yIndQDA,yMultiLDA,yMultiQDA,yPropL,yPropQ,yLiu,yLiuQDA,wTargetQ,wTargetL,wLiu,person,times,shots
114,0.84,0.835,0.842,0.844,0.847,0.841,0.847,0.841,0.5086272857951749,0.49304378422625667,0.5,20,1,17
115,0.842,0.832,0.842,0.844,0.846,0.841,0.847,0.841,0.5080381293546938,0.49929196878516735,0.5,20,1,18
116,0.84,0.834,0.842,0.844,0.846,0.842,0.846,0.841,0.5075420102661462,0.5030277376835638,0.5,20,1,19
117,0.84,0.833,0.842,0.844,0.845,0.84,0.846,0.84,0.5071044639862314,0.5006627408253175,0.5,20,1,20
118,0.84,0.835,0.842,0.844,0.849,0.841,0.849,0.841,0.5092322824275322,0.5168316993797855,0.5,20,1,21
119,0.842,0.837,0.842,0.844,0.848,0.842,0.848,0.841,0.4939806427936265,0.5160109477415109,0.5,20,1,22
120,0.847,0.837,0.842,0.844,0.85,0.844,0.85,0.844,0.4990568664392203,0.5032508404140985,0.5,20,1,23
121,0.842,0.837,0.842,0.844,0.849,0.845,0.848,0.846,0.49730229134741866,0.5016786759338998,0.5,20,1,24
122,0.843,0.841,0.842,0.844,0.849,0.846,0.849,0.845,0.4929292508840869,0.5005240268469754,0.5,20,1,25
123,0.846,0.841,0.842,0.844,0.85,0.845,0.85,0.845,0.4985667143165942,0.5,0.5,20,1,26
124,0.836,0.84,0.842,0.844,0.851,0.847,0.851,0.847,0.4932446766163358,0.4970091015694422,0.5,20,1,27
125,0.84,0.837,0.842,0.844,0.851,0.846,0.851,0.846,0.5036627534621471,0.4986190252636653,0.5,20,1,28
126,0.84,0.837,0.842,0.844,0.852,0.845,0.852,0.846,0.4938440903292766,0.49619769492129207,0.5,20,1,29
127,0.845,0.842,0.842,0.844,0.852,0.847,0.852,0.847,0.5015293037595053,0.5074674611126735,0.5,20,1,30
128,0.852,0.845,0.842,0.844,0.85,0.85,0.85,0.849,0.5156704633399523,0.5100752535291861,0.5,20,1,31
129,0.852,0.847,0.842,0.843,0.849,0.851,0.849,0.851,0.5095082824668596,0.5016767054554656,0.5,20,1,32
130,0.848,0.845,0.842,0.843,0.848,0.851,0.848,0.851,0.5087504659580522,0.503574908653674,0.5,20,1,33
131,0.851,0.847,0.842,0.843,0.848,0.851,0.848,0.851,0.5098420669585204,0.5050757962321776,0.5,20,1,34
132,0.85,0.848,0.842,0.843,0.85,0.851,0.85,0.851,0.5094798486326988,0.5051184060827931,0.5,20,1,35
133,0.85,0.845,0.842,0.843,0.849,0.85,0.85,0.849,0.5062869183328145,0.5057403788595344,0.5,20,1,36
134,0.848,0.845,0.842,0.843,0.85,0.85,0.85,0.851,0.5063060513846279,0.5040141801379517,0.5,20,1,37
135,0.849,0.846,0.842,0.843,0.852,0.851,0.851,0.851,0.5082746232515258,0.5008776708129556,0.5,20,1,38
136,0.849,0.845,0.842,0.843,0.851,0.851,0.85,0.851,0.5071868785897329,0.4998138357012822,0.5,20,1,39
137,0.847,0.846,0.842,0.843,0.849,0.849,0.85,0.849,0.5054065408488013,0.49782823561361145,0.5,20,1,40
138,0.848,0.845,0.842,0.843,0.848,0.851,0.849,0.851,0.513195246139179,0.5050068698384502,0.5,20,1,41
139,0.848,0.847,0.842,0.843,0.85,0.851,0.85,0.85,0.5085865605324519,0.5059821307473871,0.5,20,1,42
140,0.851,0.84,0.842,0.843,0.85,0.849,0.85,0.85,0.5102769595853831,0.5027545524771753,0.5,20,1,43
