,yLDAInd,yQDAInd,yLDAMulti,yQDAMulti,yPropL,yPropQ,yLiu,yLiuQDA,wTargetMeanLDA,wTargetCovLDA,wTargetMeanQDA,wTargetCovQDA,wLiu,person,times,shots,wTargetMeanLDAm,wTargetCovLDAm,wTargetMeanQDAm,wTargetCovQDAm
70,0.844,0.844,0.513,0.513,0.842,0.845,0.841,0.833,[0.72238497 0.72214058],[0.73441295 0.73098397],[0.72825209 0.72545824],[0.74164651 0.73455531],0.5,20,51,73,0.7222627737076197,0.7326984627208667,0.7268551650894151,0.7381009102654902
71,0.845,0.843,0.513,0.513,0.846,0.846,0.843,0.829,[0.7234648  0.72511999],[0.73639999 0.73255129],[0.72989061 0.72712926],[0.74282076 0.73653635],0.5,20,51,74,0.7242923979425291,0.734475637586203,0.7285099343039606,0.7396785540804331
72,0.847,0.844,0.513,0.513,0.844,0.846,0.844,0.829,[0.72758655 0.72856128],[0.74081727 0.7359715 ],[0.73084212 0.72812578],[0.74321918 0.73719836],0.5,20,51,75,0.728073915631903,0.7383943883471187,0.7294839474897793,0.7402087697610917
73,0.844,0.843,0.513,0.513,0.843,0.847,0.841,0.835,[0.72626892 0.72720704],[0.741759   0.73698785],[0.72986398 0.72731792],[0.74499288 0.7382452 ],0.5,20,51,76,0.7267379812866824,0.7393734267266665,0.7285909503596575,0.7416190430310611
74,0.845,0.844,0.513,0.513,0.842,0.845,0.843,0.829,[0.73023564 0.73226025],[0.74518989 0.74020795],[0.73145343 0.728326  ],[0.7455545 0.739675 ],0.5,20,51,77,0.731247948973202,0.7426989194267333,0.7298897133387157,0.7426147482579312
75,0.844,0.843,0.513,0.513,0.843,0.845,0.843,0.828,[0.72617923 0.72851455],[0.74079948 0.73605333],[0.73453288 0.73050471],[0.74666922 0.74059644],0.5,20,51,78,0.7273468889384727,0.7384264019860669,0.7325187930487065,0.7436328328528709
76,0.847,0.844,0.513,0.513,0.845,0.846,0.843,0.829,[0.73070253 0.73304324],[0.74438468 0.73964286],[0.73483654 0.73202719],[0.74722665 0.74152572],0.5,20,51,79,0.7318728876530861,0.7420137678751407,0.7334318680918759,0.7443761856221014
77,0.847,0.843,0.513,0.513,0.844,0.845,0.839,0.831,[0.7327536  0.73338091],[0.74500933 0.74002547],[0.73633317 0.73243103],[0.74844904 0.74288661],0.5,20,51,80,0.7330672541612648,0.74251740065934,0.7343821018244163,0.745667824399955
78,0.844,0.84,0.513,0.513,0.845,0.843,0.837,0.83,[0.73105511 0.73476827],[0.74232911 0.73776268],[0.73402009 0.73271404],[0.74635151 0.74014826],0.5,20,51,81,0.7329116884393071,0.7400458941275067,0.7333670668527674,0.7432498830919312
79,0.845,0.841,0.513,0.513,0.845,0.842,0.838,0.829,[0.73488052 0.73850978],[0.74630617 0.74170346],[0.73552875 0.73308976],[0.74718187 0.74111085],0.5,20,51,82,0.7366951484241838,0.7440048143625628,0.7343092556679081,0.7441463574845144
80,0.846,0.842,0.513,0.513,0.845,0.843,0.838,0.829,[0.7330046  0.73660151],[0.74376359 0.73988561],[0.7358704 0.734043 ],[0.74751221 0.74304934],0.5,20,51,83,0.7348030513797249,0.7418246002797579,0.7349566990967957,0.7452807785956257
81,0.844,0.841,0.513,0.513,0.845,0.845,0.838,0.832,[0.73396496 0.73649648],[0.74453977 0.7403431 ],[0.73678335 0.73446835],[0.74768467 0.74337194],0.5,20,51,84,0.7352307186668452,0.7424414346760277,0.7356258476089794,0.7455283040088577
82,0.844,0.841,0.513,0.513,0.845,0.843,0.835,0.832,[0.73542611 0.73898911],[0.74492378 0.7416064 ],[0.73713222 0.73750146],[0.75029372 0.74320349],0.5,20,51,85,0.7372076101489611,0.7432650936648297,0.7373168372967376,0.7467486027314716
